title,year,budget_raw,box_office_raw,image,budget_millionUSD,box_office_millionUSD,title_clean,log_budget,log_box_office
Traffic in Souls,1913,"$5,700","$981,000",images\1913_Traffic_in_Souls.jpg,0.0057,0.981,Traffic in Souls,0.005683816468297671,0.6836017677164139
The Birth of a Nation,1915,"$100,000+","$10,000,000",images\1915_The_Birth_of_a_Nation.jpg,0.1,10.0,The Birth of a Nation,0.09531017980432487,2.3978952727983707
Carmen,1915,"$23,429","$147,600",images\1915_Carmen.jpg,0.023429,0.1476,Carmen,0.023158753903533367,0.13767280512507268
The Cheat,1915,"$17,311","$137,364",images\1915_The_Cheat.jpg,0.017311,0.137364,The Cheat,0.017162871695309872,0.1287133042554889
The Golden Chance,1915,"$18,711","$83,504",images\1915_The_Golden_Chance.jpg,0.018711,0.083504,The Golden Chance,0.018538102631564007,0.08020023372719458
Chimmie Fadden Out West,1915,"$15,096","$72,036",images\1915_Chimmie_Fadden_Out_West.jpg,0.015096,0.072036,Chimmie Fadden Out West,0.014983189302011504,0.06955964417429675
The Arab,1915,"$18,327","$68,526",images\1915_The_Arab.jpg,0.018327,0.068526,The Arab,0.018161084623506657,0.06628012865836973
Intolerance,1916,"$385,907","$1,750,000",images\1916_Intolerance.jpg,0.385907,1.75,Intolerance,0.3263547989493353,1.0116009116784799
Joan the Woman,1916,"$302,976","$605,731",images\1916_Joan_the_Woman.jpg,0.302976,0.605731,Joan the Woman,0.26465087894007483,0.4735791046087249
Maria Rosa,1916,"$18,547","$102,767",images\1916_Maria_Rosa.jpg,0.018547,0.102767,Maria Rosa,0.018377101913584982,0.09782247588952761
Cleopatra,1917,"$250,000-500,000","$1,000,000",images\1917_Cleopatra.jpg,0.25,1.0,Cleopatra,0.22314355131420976,0.6931471805599453
A Romance of the Redwoods,1917,"$134,831","$424,718",images\1917_A_Romance_of_the_Redwoods.jpg,0.134831,0.424718,A Romance of the Redwoods,0.1264837411684432,0.3539738994000246
The Miracle Man,1919,"$120,000","$1,000,000",images\1919_The_Miracle_Man.jpg,0.12,1.0,The Miracle Man,0.11332868530700317,0.6931471805599453
Broken Blossoms,1919,"$88,000  or $115,000","$600,000",images\1919_Broken_Blossoms.jpg,0.1015,0.6,Broken Blossoms,0.09667288726026076,0.4700036292457356
Way Down East,1920,"$800,000  or $635,000","$2,000,000",images\1920_Way_Down_East.jpg,0.7175,2.0,Way Down East,0.5408697451143674,1.0986122886681098
Why Change Your Wife?,1920,"$129,349.31","$1,046,286",images\1920_Why_Change_Your_Wife?.jpg,0.12934931,1.046286,Why Change Your Wife?,0.1216416350110048,0.716026442706666
Something to Think About,1920,"$169,330","$915,848",images\1920_Something_to_Think_About.jpg,0.16933,0.915848,Something to Think About,0.1564309352106259,0.650160344460179
The Mark of Zorro,1920,"$169,187.05","$500,000",images\1920_The_Mark_of_Zorro.jpg,0.16918704999999998,0.5,The Mark of Zorro,0.15630867824424793,0.4054651081081644
The Kid,1921,"$250,000","$2,500,000",images\1921_The_Kid.jpg,0.25,2.5,The Kid,0.22314355131420976,1.252762968495368
The Affairs of Anatol,1921,"$176,508","$1,191,789",images\1921_The_Affairs_of_Anatol.jpg,0.176508,1.191789,The Affairs of Anatol,0.16255072899216563,0.7847181053284746
School Days,1921,"$133,000","$546,000",images\1921_School_Days.jpg,0.133,0.546,School Days,0.12486898204586927,0.4356709501652302
Why Girls Leave Home,1921,"$45,000","$410,000",images\1921_Why_Girls_Leave_Home.jpg,0.045,0.41,Why Girls Leave Home,0.04401688541677433,0.3435897043900769
Robin Hood,1922,"$930,000","$2,101,044",images\1922_Robin_Hood.jpg,0.93,2.101044,Robin Hood,0.6575200029167941,1.131738828988949
Manslaughter,1922,"$385,000","$1,206,014",images\1922_Manslaughter.jpg,0.385,1.206014,Manslaughter,0.32570013963930183,0.7911872671393687
Grandma's Boy,1922,"$94,412","$1,100,000",images\1922_Grandma's_Boy.jpg,0.094412,1.1,Grandma's Boy,0.09021723273831546,0.7419373447293773
Rags to Riches,1922,"$96,000","$418,000",images\1922_Rags_to_Riches.jpg,0.096,0.418,Rags to Riches,0.0916671885258238,0.34924742810993575
Heroes of the Street,1922,"$110,000","$366,000",images\1922_Heroes_of_the_Street.jpg,0.11,0.366,Heroes of the Street,0.10436001532424277,0.31188676114859837
The Beautiful and Damned,1922,"$108,000","$327,000",images\1922_The_Beautiful_and_Damned.jpg,0.108,0.327,The Beautiful and Damned,0.10255658832509207,0.2829207553500705
Your Best Friend,1922,"$84,000","$132,000",images\1922_Your_Best_Friend.jpg,0.084,0.132,Your Best Friend,0.08065790301745447,0.1239859797809912
The Ten Commandments,1923,$1.5 million,"$4,169,798",images\1923_The_Ten_Commandments.jpg,1.5,4.169798,The Ten Commandments,0.9162907318741551,1.642833616190293
The Covered Wagon,1923,"$782,000 or $336,000","$3,500,000",images\1923_The_Covered_Wagon.jpg,0.559,3.5,The Covered Wagon,0.4440445900756395,1.5040773967762742
Safety Last!The Hunchback of Notre Dame,1923,"$121,000","$1,500,000",images\1923_Safety_Last!The_Hunchback_of_Notre_Dame.jpg,0.121,1.5,Safety Last!The Hunchback of Notre Dame,0.11422114409002286,0.9162907318741551
Main Street,1923,"$270,000","$510,000",images\1923_Main_Street.jpg,0.27,0.51,Main Street,0.23901690047049992,0.412109650826833
The Gold Diggers,1923,"$280,000","$470,000",images\1923_The_Gold_Diggers.jpg,0.28,0.47,The Gold Diggers,0.2468600779315258,0.3852624007906449
Tiger Rose,1923,"$436,000","$466,000",images\1923_Tiger_Rose.jpg,0.436,0.466,Tiger Rose,0.36186147062603247,0.3825376034644598
The Sea Hawk,1924,"$800,000","$2,000,000",images\1924_The_Sea_Hawk.jpg,0.8,2.0,The Sea Hawk,0.5877866649021191,1.0986122886681098
Girl Shy,1924,"$400,000","$1,550,000",images\1924_Girl_Shy.jpg,0.4,1.55,Girl Shy,0.33647223662121295,0.9360933591703349
The Thief of Bagdad,1924,"$1,135,654.65","$1,490,419",images\1924_The_Thief_of_Bagdad.jpg,1.13565465,1.490419,The Thief of Bagdad,0.7587732273146026,0.9124509694126569
He Who Gets Slapped,1924,"$172,000","$493,000",images\1924_He_Who_Gets_Slapped.jpg,0.172,0.493,He Who Gets Slapped,0.15871169115482087,0.4007875185570533
Beau Brummel,1924,"$343,000","$453,000",images\1924_Beau_Brummel.jpg,0.343,0.453,Beau Brummel,0.29490591754110057,0.37363038458814585
His Hour,1924,"$197,000","$418,000",images\1924_His_Hour.jpg,0.197,0.418,His Hour,0.1798184265758361,0.34924742810993575
The Big Parade,1925,"$382,000","$4,990,000",images\1925_The_Big_Parade.jpg,0.382,4.99,The Big Parade,0.3235317253454782,1.7900914121273581
Ben-Hur: A Tale of the Christ,1925,$4 million,"$4,359,000",images\1925_Ben-Hur:_A_Tale_of_the_Christ.jpg,4.0,4.359,Ben-Hur: A Tale of the Christ,1.6094379124341003,1.6787773905127132
The Freshman,1925,"$301,681","$2,600,000",images\1925_The_Freshman.jpg,0.301681,2.6,The Freshman,0.2636565060866008,1.2809338454620642
The Gold Rush,1925,"$923,000","$2,150,000",images\1925_The_Gold_Rush.jpg,0.923,2.15,The Gold Rush,0.6538864666066427,1.1474024528375417
The Phantom of the Opera,1925,"$632,357.","$1,550,000",images\1925_The_Phantom_of_the_Opera.jpg,0.632357,1.55,The Phantom of the Opera,0.4900249826196226,0.9360933591703349
The Lost World,1925,"$700,000","$1,300,000",images\1925_The_Lost_World.jpg,0.7,1.3,The Lost World,0.5306282510621704,0.832909122935104
The Merry Widow,1925,"$592,000","$1,081,000",images\1925_The_Merry_Widow.jpg,0.592,1.081,The Merry Widow,0.46499108742219125,0.7328485474114974
The Black Pirate,1926,"$1,300,000","$1,700,000",images\1926_The_Black_Pirate.jpg,1.3,1.7,The Black Pirate,0.832909122935104,0.9932517730102833
Beau Geste,1926,"$900,000","$1,500,000",images\1926_Beau_Geste.jpg,0.9,1.5,Beau Geste,0.6418538861723948,0.9162907318741551
The Volga Boatman,1926,"$479,357","$1,275,375",images\1926_The_Volga_Boatman.jpg,0.479357,1.275375,The Volga Boatman,0.3916075339117089,0.8221448739839258
Don Juan,1926,"$546,000","$1,258,000",images\1926_Don_Juan.jpg,0.546,1.258,Don Juan,0.4356709501652302,0.8144794657274703
Sparrows,1926,"$463,000","$966,878",images\1926_Sparrows.jpg,0.463,0.966878,Sparrows,0.38048912203798724,0.6764475140975256
The Better 'Ole,1926,"$449,000","$955,000",images\1926_The_Better_'Ole.jpg,0.449,0.955,The Better 'Ole,0.3708736633385453,0.670390193437329
The Sea Beast,1926,"$503,000","$814,000",images\1926_The_Sea_Beast.jpg,0.503,0.814,The Sea Beast,0.40746311077083747,0.5955343516929448
The King of Kings,1927,"$1,265,284","$2,641,687",images\1927_The_King_of_Kings.jpg,1.265284,2.641687,The King of Kings,0.8177001373882564,1.292447035821984
The Jazz Singer,1927,"$422,000","$1,974,000",images\1927_The_Jazz_Singer.jpg,0.422,1.974,The Jazz Singer,0.35206433138104914,1.0899078480379634
7th Heaven,1927,$1.3 million,"$1,750,000",images\1927_7th_Heaven.jpg,1.3,1.75,7th Heaven,0.832909122935104,1.0116009116784799
The Patent Leather KidJesse James,1927,"$850,000","$1,200,000",images\1927_The_Patent_Leather_KidJesse_James.jpg,0.85,1.2,The Patent Leather KidJesse James,0.6151856390902334,0.7884573603642702
Wings,1927,$2 million,"$1,100,000",images\1927_Wings.jpg,2.0,1.1,Wings,1.0986122886681098,0.7419373447293773
My Best Girl,1927,"$483,103","$1,027,757",images\1927_My_Best_Girl.jpg,0.483103,1.027757,My Best Girl,0.39413651455383575,0.7069302560644422
Love,1927,"$487,994.88","$946,000",images\1927_Love.jpg,0.48799488,0.946,Love,0.3974294955447653,0.6657759837638133
The Student Prince in Old Heidelberg,1927,"$1,205,000","$894,000",images\1927_The_Student_Prince_in_Old_Heidelberg.jpg,1.205,0.894,The Student Prince in Old Heidelberg,0.7907275088988094,0.6386909947638865
The Singing Fool,1928,"$388,000","$3,821,000",images\1928_The_Singing_Fool.jpg,0.388,3.821,The Singing Fool,0.32786386208461277,1.5729813754234852
Noah's Ark,1928,"$1,005,000","$1,367,000",images\1928_Noah's_Ark.jpg,1.005,1.367,Noah's Ark,0.6956440607585325,0.8616233305318469
The Terror,1928,"$163,000","$1,221,000",images\1928_The_Terror.jpg,0.163,1.221,The Terror,0.1510028735365274,0.7979575449122904
Lights of New York,1928,"$23,000","$1,160,000",images\1928_Lights_of_New_York.jpg,0.023,1.16,Lights of New York,0.022739486969489426,0.7701082216960736
My Man,1928,"$192,000","$1,099,000",images\1928_My_Man.jpg,0.192,1.099,My Man,0.17563256864315802,0.741461040838496
The Broadway Melody,1929,"$379,000","$2,808,000",images\1929_The_Broadway_Melody.jpg,0.379,2.808,The Broadway Melody,0.32135859881116474,1.337104116929119
Gold Diggers of Broadway,1929,"$532,000","$2,540,000",images\1929_Gold_Diggers_of_Broadway.jpg,0.532,2.54,Gold Diggers of Broadway,0.4265740713183996,1.264126727145683
Rio Rita,1929,"$678,000","$1,775,000",images\1929_Rio_Rita.jpg,0.678,1.775,Rio Rita,0.5176026080450145,1.0206507471983979
On with the Show!,1929,"$493,000","$1,741,000",images\1929_On_with_the_Show!.jpg,0.493,1.741,On with the Show!,0.4007875185570533,1.0083228173206489
Say It with Songs,1929,"$470,000","$1,715,000",images\1929_Say_It_with_Songs.jpg,0.47,1.715,Say It with Songs,0.3852624007906449,0.9987919533858988
The Desert Song,1929,"$354,000","$1,549,000",images\1929_The_Desert_Song.jpg,0.354,1.549,The Desert Song,0.30306317449008324,0.9357011253939783
The Hollywood Revue of 1929,1929,"$426,000","$1,527,000",images\1929_The_Hollywood_Revue_of_1929.jpg,0.426,1.527,The Hollywood Revue of 1929,0.3548733219921042,0.9270328284060572
Whoopee!,1930,$1.9 million,"$2,655,000",images\1930_Whoopee!.jpg,1.9,2.655,Whoopee!,1.0647107369924282,1.2960960932017418
Check and Double Check,1930,"$967,000","$1,751,000",images\1930_Check_and_Double_Check.jpg,0.967,1.751,Check and Double Check,0.6765095394069219,1.0119644819424374
All Quiet on the Western Front,1930,$1.2 million,"$1,634,000",images\1930_All_Quiet_on_the_Western_Front.jpg,1.2,1.634,All Quiet on the Western Front,0.7884573603642702,0.9685036033210893
Hell's Angels,1930,$2.8 million,"$1,600,000",images\1930_Hell's_Angels.jpg,2.8,1.6,Hell's Angels,1.33500106673234,0.9555114450274363
The Big House,1930,"$414,000","$1,279,000",images\1930_The_Big_House.jpg,0.414,1.279,The Big House,0.346422567474381,0.8237367502635472
Son of the Gods,1930,"$436,000","$1,069,000",images\1930_Son_of_the_Gods.jpg,0.436,1.069,Son of the Gods,0.36186147062603247,0.7270653987634059
The Dawn Patrol,1930,"$729,000","$1,061,000",images\1930_The_Dawn_Patrol.jpg,0.729,1.061,The Dawn Patrol,0.5475432067011534,0.7231913019083219
Frankenstein,1931,"$262,007","$12,000,000",images\1931_Frankenstein.jpg,0.262007,12.0,Frankenstein,0.23270331085482684,2.5649493574615367
City Lights,1931,$1.5 million,"$2,000,000",images\1931_City_Lights.jpg,1.5,2.0,City Lights,0.9162907318741551,1.0986122886681098
Trader Horn,1931,$1.3 million,"$1,642,000",images\1931_Trader_Horn.jpg,1.3,1.642,Trader Horn,0.832909122935104,0.9715362061001336
Cimarron,1931,"$1,433,000","$1,122,000",images\1931_Cimarron.jpg,1.433,1.122,Cimarron,0.8891250638013856,0.7523590401917915
Bad Girl,1931,"Under $100,000","$1,100,000",images\1931_Bad_Girl.jpg,0.1,1.1,Bad Girl,0.09531017980432487,0.7419373447293773
The Sign of the Cross,1932,"$694,065","$2,738,993",images\1932_The_Sign_of_the_Cross.jpg,0.694065,2.738993,The Sign of the Cross,0.5271309662139143,1.3188163238348931
Emma,1932,"$350,000","$1,409,000",images\1932_Emma.jpg,0.35,1.409,Emma,0.3001045924503381,0.8792117236327344
Hell Divers,1932,"$821,000","$1,244,000",images\1932_Hell_Divers.jpg,0.821,1.244,Hell Divers,0.5993858007454709,0.8082599876604499
Grand Hotel,1932,"$750,000","$1,235,000",images\1932_Grand_Hotel.jpg,0.75,1.235,Grand Hotel,0.5596157879354227,0.8042412280655322
Prosperity,1932,"$628,000","$1,166,000",images\1932_Prosperity.jpg,0.628,1.166,Prosperity,0.48735226758034855,0.7728821485787989
Tarzan the Ape Man,1932,"$652,675","$1,112,000",images\1932_Tarzan_the_Ape_Man.jpg,0.652675,1.112,Tarzan the Ape Man,0.5023951872879651,0.7476353658440151
Smilin' Through,1932,"$851,000","$1,004,000",images\1932_Smilin'_Through.jpg,0.851,1.004,Smilin' Through,0.6157260335913605,0.6951451832226183
Strange Interlude,1932,"$654,000","$957,000",images\1932_Strange_Interlude.jpg,0.654,0.957,Strange Interlude,0.5031965966014996,0.6714126884139392
Horse Feathers,1932,"$647,000","$945,000",images\1932_Horse_Feathers.jpg,0.647,0.945,Horse Feathers,0.4989554511955033,0.6652619770704097
Roman Scandals,1933,"US$1,000,000","$2,443,000",images\1933_Roman_Scandals.jpg,1.0,2.443,Roman Scandals,0.6931471805599453,1.2363431843563868
I'm No Angel,1933,"$225,000","$2,250,000",images\1933_I'm_No_Angel.jpg,0.225,2.25,I'm No Angel,0.20294084399669032,1.1786549963416462
Gold Diggers of 1933,1933,"$433,000","$2,202,000",images\1933_Gold_Diggers_of_1933.jpg,0.433,2.202,Gold Diggers of 1933,0.35977014884603475,1.1637756145745228
She Done Him Wrong,1933,"$200,000","$2,200,000",images\1933_She_Done_Him_Wrong.jpg,0.2,2.2,She Done Him Wrong,0.18232155679395465,1.1631508098056809
Tugboat Annie,1933,"$614,000","$1,917,000",images\1933_Tugboat_Annie.jpg,0.614,1.917,Tugboat Annie,0.47871556984775704,1.0705556908855842
Footlight Parade,1933,"$703,000","$1,601,000",images\1933_Footlight_Parade.jpg,0.703,1.601,Footlight Parade,0.5323914016805512,0.9558959864665145
Dancing Lady,1933,"$923,000","$1,490,000",images\1933_Dancing_Lady.jpg,0.923,1.49,Dancing Lady,0.6538864666066427,0.9122827104766162
42nd Street,1933,"$439,000","$1,438,000",images\1933_42nd_Street.jpg,0.439,1.438,42nd Street,0.36394842790523074,0.8911780310590798
Dinner at Eight,1933,"$435,000","$1,398,000",images\1933_Dinner_at_Eight.jpg,0.435,1.398,Dinner at Eight,0.3611648492115844,0.8746350566053225
Cleopatra,1934,"$842,908","$1,929,161",images\1934_Cleopatra.jpg,0.842908,1.929161,Cleopatra,0.6113447588307505,1.0747160339006572
Forsaking All Others,1934,"$392,000","$1,399,000",images\1934_Forsaking_All_Others.jpg,0.392,1.399,Forsaking All Others,0.33074156191222787,0.8750519838575576
It Happened One Night,1934,"$325,000","$1,366,000",images\1934_It_Happened_One_Night.jpg,0.325,1.366,It Happened One Night,0.28141245943818555,0.8612007655561951
Chained,1934,"$544,000","$1,301,000",images\1934_Chained.jpg,0.544,1.301,Chained,0.4343764516025845,0.8333438110532287
Wonder Bar,1934,"$675,000","$1,264,000",images\1934_Wonder_Bar.jpg,0.675,1.264,Wonder Bar,0.5158131652770298,0.8171331603409365
The Barretts of Wimpole Street,1934,"$820,000","$1,258,000",images\1934_The_Barretts_of_Wimpole_Street.jpg,0.82,1.258,The Barretts of Wimpole Street,0.598836501088704,0.8144794657274703
Here Comes the Navy,1934,"$263,000","$1,183,000",images\1934_Here_Comes_the_Navy.jpg,0.263,1.183,Here Comes the Navy,0.23348984336835407,0.7807000775678069
Treasure Island,1934,"$825,000","$1,164,000",images\1934_Treasure_Island.jpg,0.825,1.164,Treasure Island,0.6015799870344548,0.7719583609842351
Mutiny on the Bounty,1935,"$1,950,000","$2,250,000",images\1935_Mutiny_on_the_Bounty.jpg,1.95,2.25,Mutiny on the Bounty,1.0818051703517284,1.1786549963416462
Top Hat,1935,"$609,000","$1,782,000",images\1935_Top_Hat.jpg,0.609,1.782,Top Hat,0.47561286801024616,1.023170093501251
China Seas,1935,$1.1 million,"$1,710,000",images\1935_China_Seas.jpg,1.1,1.71,China Seas,0.7419373447293773,0.9969486348916096
Broadway Melody of 1936,1935,"$1,062,000","$1,655,000",images\1935_Broadway_Melody_of_1936.jpg,1.062,1.655,Broadway Melody of 1936,0.7236763855947682,0.9764446546939022
David Copperfield,1935,"$1,073,000","$1,621,000",images\1935_David_Copperfield.jpg,1.073,1.621,David Copperfield,0.7289968334536425,0.9635559243412692
The Crusades,1935,$1.4 million,"$1,491,471",images\1935_The_Crusades.jpg,1.4,1.491471,The Crusades,0.8754687373538999,0.9128732990970284
Roberta,1935,"$610,000","$1,467,000",images\1935_Roberta.jpg,0.61,1.467,Roberta,0.4762341789963716,0.9030028375472197
The Great Ziegfeld,1936,$2.183 million,"$3,089,000",images\1936_The_Great_Ziegfeld.jpg,2.183,3.089,The Great Ziegfeld,1.1578241482999556,1.4083004413825053
San Francisco,1936,$1.3 million,"$2,868,000",images\1936_San_Francisco.jpg,1.3,2.868,San Francisco,0.832909122935104,1.352737577591048
The Plainsman,1936,"$974,084","$2,278,533",images\1936_The_Plainsman.jpg,0.974084,2.278533,The Plainsman,0.6801044932974178,1.18739606624965
After the Thin Man,1936,"$673,000","$1,992,000",images\1936_After_the_Thin_Man.jpg,0.673,1.992,After the Thin Man,0.514618422004687,1.0959420601122307
Modern Times,1936,$1.5 million,"$1,800,000",images\1936_Modern_Times.jpg,1.5,1.8,Modern Times,0.9162907318741551,1.0296194171811581
Anthony Adverse,1936,"$1,192,000","$1,783,000",images\1936_Anthony_Adverse.jpg,1.192,1.783,Anthony Adverse,0.7848143690857691,1.0235294825437538
Rose Marie,1936,"$875,000","$1,695,000",images\1936_Rose_Marie.jpg,0.875,1.695,Rose Marie,0.6286086594223741,0.9913982043609605
Swing Time,1936,"$886,000","$1,624,000",images\1936_Swing_Time.jpg,0.886,1.624,Swing Time,0.6344581842112657,0.9646998710818426
Libeled Lady,1936,"$603,000","$1,601,000",images\1936_Libeled_Lady.jpg,0.603,1.601,Libeled Lady,0.47187687362741587,0.9558959864665145
Saratoga,1937,$1.1 million,"$2,432,000",images\1937_Saratoga.jpg,1.1,2.432,Saratoga,0.7419373447293773,1.233143181625716
Maytime,1937,"$2,126,000","$2,183,000",images\1937_Maytime.jpg,2.126,2.183,Maytime,1.1397542319992848,1.1578241482999556
The Good Earth,1937,"$2,816,000","$2,002,000",images\1937_The_Good_Earth.jpg,2.816,2.002,The Good Earth,1.33920275358604,1.0992787332112701
Rosalie,1937,"$2,096,000","$1,946,000",images\1937_Rosalie.jpg,2.096,1.946,Rosalie,1.1301109557274807,1.0804483180404385
Broadway Melody of 1938,1937,"$1,588,000","$1,889,000",images\1937_Broadway_Melody_of_1938.jpg,1.588,1.889,Broadway Melody of 1938,0.9508853766386541,1.0609104214840983
Captains Courageous,1937,$1.6 million,"$1,688,000",images\1937_Captains_Courageous.jpg,1.6,1.688,Captains Courageous,0.9555114450274363,0.9887974226609031
Lost Horizon,1937,$2 million,"$1,683,000",images\1937_Lost_Horizon.jpg,2.0,1.683,Lost Horizon,1.0986122886681098,0.9869355714434871
A Day at the Races,1937,"$2,016,000","$1,602,000",images\1937_A_Day_at_the_Races.jpg,2.016,1.602,A Day at the Races,1.1039314501457096,0.9562803800903136
Snow White and the Seven Dwarfs,1938,$1.5 million,"$3,996,000",images\1938_Snow_White_and_the_Seven_Dwarfs.jpg,1.5,3.996,Snow White and the Seven Dwarfs,0.9162907318741551,1.6086375922633314
Boys Town,1938,"$772,000","$2,828,000",images\1938_Boys_Town.jpg,0.772,2.828,Boys Town,0.5721088521828892,1.3423424735907077
Alexander's Ragtime Band,1938,"$1,200,000  -$2,275,000","$2,630,000",images\1938_Alexander's_Ragtime_Band.jpg,1.7374999999999998,2.63,Alexander's Ragtime Band,1.007045095142619,1.2892326482767593
Test Pilot,1938,$1.7 million,"$2,431,000",images\1938_Test_Pilot.jpg,1.7,2.431,Test Pilot,0.9932517730102833,1.2328517638763126
You Can't Take It with You,1938,"US$1,644,736","$2,182,000",images\1938_You_Can't_Take_It_with_You.jpg,1.644736,2.182,You Can't Take It with You,0.9725712493647338,1.157509929915595
Sweethearts,1938,$1.9 million,"$2,017,000",images\1938_Sweethearts.jpg,1.9,2.017,Sweethearts,1.0647107369924282,1.104262960176924
In Old Chicago,1938,over $1 million,"$1,964,000",images\1938_In_Old_Chicago.jpg,1.0,1.964,In Old Chicago,0.6931471805599453,1.0865397074338405
The Adventures of Robin Hood,1938,"$2,033,000","$1,928,000",images\1938_The_Adventures_of_Robin_Hood.jpg,2.033,1.928,The Adventures of Robin Hood,1.109552228706444,1.074319596099065
Love Finds Andy Hardy,1938,"$212,000","$1,637,000",images\1938_Love_Finds_Andy_Hardy.jpg,0.212,1.637,Love Finds Andy Hardy,0.19227188764712272,0.9696419073711496
Marie Antoinette,1938,"$2,926,000","$1,633,000",images\1938_Marie_Antoinette.jpg,2.926,1.633,Marie Antoinette,1.3676210958542694,0.9681238805141723
Gone with the Wind,1939,$3.85 million,"$20,000,000",images\1939_Gone_with_the_Wind.jpg,3.85,20.0,Gone with the Wind,1.5789787049493917,3.044522437723423
Mr. Smith Goes to Washington,1939,$1.5 million,"$3,500,000",images\1939_Mr._Smith_Goes_to_Washington.jpg,1.5,3.5,Mr. Smith Goes to Washington,0.9162907318741551,1.5040773967762742
Jesse James,1939,$1.6 million,"$2,335,000",images\1939_Jesse_James.jpg,1.6,2.335,Jesse James,0.9555114450274363,1.204472679367587
Babes in Arms,1939,"$745,341","$2,311,000",images\1939_Babes_in_Arms.jpg,0.745341,2.311,Babes in Arms,0.5569499520360535,1.1972502585651092
The Wizard of Oz,1939,$2.8 million,"$2,048,000",images\1939_The_Wizard_of_Oz.jpg,2.8,2.048,The Wizard of Oz,1.33500106673234,1.1144856378244
"Goodbye, Mr. Chips",1939,"$1,051,000  or £243,340","$1,777,000","images\1939_Goodbye,_Mr._Chips.jpg",1.051,1.777,"Goodbye, Mr. Chips",0.7183274790902435,1.0213712083246624
Dodge City,1939,"$1,061,000","$1,668,000",images\1939_Dodge_City.jpg,1.061,1.668,Dodge City,0.7231913019083219,0.9813291280533772
The Rains Came,1939,$2.5 million,"$1,656,000",images\1939_The_Rains_Came.jpg,2.5,1.656,The Rains Came,1.252762968495368,0.9768212316141874
The Women,1939,"$1,688,000","$1,610,000",images\1939_The_Women.jpg,1.688,1.61,The Women,0.9887974226609031,0.959350221334602
Drums Along the Mohawk,1939,over $2 million,"$1,558,000",images\1939_Drums_Along_the_Mohawk.jpg,2.0,1.558,Drums Along the Mohawk,1.0986122886681098,0.939225703156651
Boom Town,1940,$1.6 million,"$3,664,000",images\1940_Boom_Town.jpg,1.6,3.664,Boom Town,0.9555114450274363,1.5398734490481911
The Great Dictator,1940,$2.2 million,"$3,500,000",images\1940_The_Great_Dictator.jpg,2.2,3.5,The Great Dictator,1.1631508098056809,1.5040773967762742
Rebecca,1940,$1.29 million,"$3,000,000",images\1940_Rebecca.jpg,1.29,3.0,Rebecca,0.8285518175661483,1.3862943611198906
Strike Up the Band,1940,"$854,000","$2,265,000",images\1940_Strike_Up_the_Band.jpg,0.854,2.265,Strike Up the Band,0.6173454671436633,1.1832597627283945
Northwest Passage,1940,"$2,687,000","$2,169,000",images\1940_Northwest_Passage.jpg,2.687,2.169,Northwest Passage,1.3048131192520074,1.1534160807087837
Andy Hardy Meets Debutante,1940,"$436,000","$1,945,000",images\1940_Andy_Hardy_Meets_Debutante.jpg,0.436,1.945,Andy Hardy Meets Debutante,0.36186147062603247,1.0801088171035502
Santa Fe Trail,1940,"$1,115,000","$1,748,000",images\1940_Santa_Fe_Trail.jpg,1.115,1.748,Santa Fe Trail,0.7490548124982412,1.010873374360103
Kitty Foyle,1940,"$738,000","$1,710,000",images\1940_Kitty_Foyle.jpg,0.738,1.71,Kitty Foyle,0.5527350268432003,0.9969486348916096
Sergeant York,1941,$1.7 million,"$6,075,000",images\1941_Sergeant_York.jpg,1.7,6.075,Sergeant York,0.9932517730102833,1.9565674435293015
Honky Tonk,1941,"$899,000","$2,893,000",images\1941_Honky_Tonk.jpg,0.899,2.893,Honky Tonk,0.6413274318301488,1.3591800686283186
How Green Was My Valley,1941,"$800,000","$2,447,000",images\1941_How_Green_Was_My_Valley.jpg,0.8,2.447,How Green Was My Valley,0.5877866649021191,1.2375042875347284
The Philadelphia Story,1941,"$914,000","$2,374,000",images\1941_The_Philadelphia_Story.jpg,0.914,2.374,The Philadelphia Story,0.6491952930307625,1.2160989841237766
A Yank in the R.A.F.,1941,"$200,000","$2,063,000",images\1941_A_Yank_in_the_R.A.F..jpg,0.2,2.063,A Yank in the R.A.F.,0.18232155679395465,1.1193948278506383
Men of Boys Town,1941,"$862,000","$2,009,000",images\1941_Men_of_Boys_Town.jpg,0.862,2.009,Men of Boys Town,0.6216511788548753,1.1016077976479082
Ziegfeld Girl,1941,$1.5 million,"$1,891,000",images\1941_Ziegfeld_Girl.jpg,1.5,1.891,Ziegfeld Girl,0.9162907318741551,1.061602463034209
They Died with Their Boots On,1941,$1.3 million,"$1,871,000",images\1941_They_Died_with_Their_Boots_On.jpg,1.3,1.871,They Died with Their Boots On,0.832909122935104,1.054660401138927
Mrs. Miniver,1942,$1.34 million,"$5,358,000",images\1942_Mrs._Miniver.jpg,1.34,5.358,Mrs. Miniver,0.8501509293696101,1.849713862488611
Random Harvest,1942,"$1,210,000","$4,650,000",images\1942_Random_Harvest.jpg,1.21,4.65,Random Harvest,0.7929925155296614,1.7316555451583497
Yankee Doodle Dandy,1942,$1.5 million,"$4,631,000",images\1942_Yankee_Doodle_Dandy.jpg,1.5,4.631,Yankee Doodle Dandy,0.9162907318741551,1.7282870462724815
